"Group","Subject","Consolidated","Unconsolidated","diff"
"adult",1,0.204260651629073,0.154135338345865,0.050125313283208
"adult",2,0.0632832080200501,0.145989974937343,-0.0827067669172932
"adult",3,0.132205513784461,0.0614035087719298,0.0708020050125313
"adult",4,0.075187969924812,0.148496240601504,-0.0733082706766917
"adult",5,0.0795739348370927,0.0820802005012531,-0.0025062656641604
"adult",6,0.151629072681704,0.235588972431078,-0.0839598997493734
"adult",7,0.134711779448622,0.137844611528822,-0.00313283208020049
"adult",8,0.0363408521303258,0.0319548872180451,0.0043859649122807
"adult",9,0.140350877192982,0.149749373433584,-0.00939849624060152
"adult",10,0.18734335839599,0.0971177944862155,0.0902255639097744
"adult",11,0.137218045112782,0.0827067669172932,0.0545112781954887
"adult",12,0.107142857142857,0.102130325814536,0.0050125313283208
"adult",13,0.0664160401002506,0.0708020050125313,-0.0043859649122807
"adult",14,0.158521303258145,0.154135338345865,0.00438596491228072
"adult",15,0.223057644110276,0.170426065162907,0.0526315789473684
"adult",16,0.134085213032581,0.182957393483709,-0.0488721804511278
"adult",17,0.0833333333333333,0.104010025062657,-0.0206766917293233
"adult",18,0.154761904761905,0.136591478696742,0.0181704260651629
"adult",19,0.120927318295739,0.134085213032581,-0.0131578947368421
"adult",20,0.0927318295739348,0.0864661654135338,0.006265664160401
"adult",21,0.263157894736842,0.258145363408521,0.0050125313283208
"adult",22,0.246867167919799,0.266290726817043,-0.0194235588972431
"adult",23,0.0708020050125313,0.107769423558897,-0.0369674185463659
"adult",24,0.149749373433584,0.12280701754386,0.0269423558897243
"adult",25,0.107769423558897,0.0507518796992481,0.0570175438596491
"adult",26,0.136591478696742,0.1234335839599,0.0131578947368421
"adult",27,0.0783208020050125,0.191729323308271,-0.113408521303258
"adult",28,0.225563909774436,0.183583959899749,0.0419799498746867
"adult",29,0.286967418546366,0.200501253132832,0.0864661654135338
"adult",30,0.0827067669172932,0.165413533834586,-0.0827067669172932
"adult",31,0.106516290726817,0.0996240601503759,0.0068922305764411
"adult",32,0.199874686716792,0.199874686716792,0
"adult",33,0.129699248120301,0.0827067669172932,0.0469924812030075
"adult",34,0.153508771929825,0.162280701754386,-0.00877192982456143
"adult",35,0.233709273182957,0.218671679197995,0.0150375939849624
"adult",36,0.0426065162907268,0.0642515379357485,-0.0216450216450216
"adult",37,0.134085213032581,0.161654135338346,-0.0275689223057644
"adult",39,0.302631578947368,0.210526315789474,0.0921052631578947
"adult",40,0.128446115288221,0.0664160401002506,0.0620300751879699
"adult",41,0.137218045112782,0.0883458646616541,0.0488721804511278
"adult",42,0.0852130325814536,0.0695488721804511,0.0156641604010025
"adult",43,0.056390977443609,0.0169172932330827,0.0394736842105263
"child",100,0.272556390977444,0.192355889724311,0.0802005012531328
"child",101,0.109649122807018,0.105889724310777,0.0037593984962406
"child",102,0.140977443609023,0.0676691729323308,0.0733082706766917
"child",103,0.142230576441103,0.0808270676691729,0.0614035087719298
"child",104,0.18671679197995,0.12781954887218,0.0588972431077694
"child",105,0.139097744360902,0.111528822055138,0.0275689223057644
"child",106,0.186602870813397,0.0733082706766917,0.113294600136705
"child",107,0.202380952380952,0.1265664160401,0.0758145363408521
"child",108,0.200501253132832,0.104636591478697,0.0958646616541353
"child",109,0.12531328320802,0.112155388471178,0.0131578947368421
"child",110,0.12468671679198,0.116541353383459,0.0081453634085213
"child",111,0.112155388471178,0.119047619047619,-0.0068922305764411
"child",112,0.19047619047619,0.135964912280702,0.0545112781954887
"child",113,0.169514695830485,0.103383458646617,0.0661312371838687
"child",114,0.259398496240602,0.11825017088175,0.141148325358852
"child",115,0.12531328320802,0.182330827067669,-0.0570175438596491
"child",116,0.203007518796992,0.140977443609023,0.0620300751879699
"child",117,0.212406015037594,0.0783208020050125,0.134085213032581
"child",118,0.139097744360902,0.115288220551378,0.0238095238095238
"child",119,0.161027568922306,0.18546365914787,-0.0244360902255639
"child",120,0.18734335839599,0.12280701754386,0.0645363408521303
"child",121,0.108395989974937,0.261904761904762,-0.153508771929825
"child",122,0.0808270676691729,0.147869674185464,-0.0670426065162907
"child",123,0.0952380952380952,0.147869674185464,-0.0526315789473684
"child",124,0.109022556390977,0.100250626566416,0.0087719298245614
"child",125,0.119674185463659,0.102756892230576,0.0169172932330827
"child",126,0.255012531328321,0.231829573934837,0.0231829573934837
"child",127,0.2531328320802,0.224310776942356,0.0288220551378446
"child",128,0.263157894736842,0.216791979949875,0.0463659147869674
"child",129,0.172305764411028,0.171679197994987,0.000626566416040114
"child",130,0.341478696741855,0.191729323308271,0.149749373433584
"child",131,0.221804511278195,0.0983709273182957,0.1234335839599
"child",132,0.163533834586466,0.120300751879699,0.0432330827067669
"child",133,0.236215538847118,0.182330827067669,0.0538847117794486
"child",134,0.232456140350877,0.165413533834586,0.0670426065162907
"child",135,0.156015037593985,0.191102756892231,-0.0350877192982456
"child",136,0.231829573934837,0.114035087719298,0.117794486215539
"child",137,0.0607769423558897,0.110275689223058,-0.0494987468671679
"child",138,0.129699248120301,0.152882205513784,-0.0231829573934837
"child",139,0.234962406015038,0.184210526315789,0.0507518796992481
"child",140,0.18734335839599,0.131578947368421,0.0557644110275689
